year,Fossil Energy Extraction,Extracted Fossil Energy Resources,Fossil Energy Capital,Fossil Fuel Extraction Capital,Fossil Fuel Extraction Scarcity Effect,Total Energy Output,Secondary Fossil Energy Output,Renewable Energy Output,Primary Fossil Energy (FUEL),Fossil Extraction Accumulated Knowledge,Total Renewable Energy Capacity,Cumulative Renewable Energy Capacity Construction,Renewable Energy Reducible Installation Costs
1995,6.402,0,0.06,0.05,1,0.278007301713892,0.231,0.00800730171389178,0.32,128.04,1082.015934,1082.01593,700
2000,6.672,32.01,0.0558272493379277,0.0521368668338442,1.00051814922882,0.272760667102902,0.226623901800404,0.0071367653024982,0.333495782567947,128.04,1083.66508206667,1086.18259666667,699.370445354211
2005,7.5,65.37,0.0641461435227207,0.0586884310074982,1.00216092890013,0.309068519123742,0.257891216040329,0.00617730308341252,0.374882849109653,128.093331734857,1083.25637753438,1090.35145043438,698.743533615983
2010,8.06,102.87,0.0729604583134783,0.0631564282032776,1.0053513208091,0.341697855362358,0.285717652997362,0.00498020236499559,0.402874101843174,128.30256359084,1074.95914280436,1094.52248440436,698.119245152593
2015,9.2187221397501,143.17,0.083172938859614,0.0724218418575383,1.01036543560051,0.383371409528987,0.326228266807336,0.00314314272165134,0.460792109453301,128.61145162161,1045.21238912093,1098.69569172093,697.497560540067
2020,10.3585557377429,189.263610698751,0.0941698319522719,0.0816811976910546,1.0181141412565,0.4260525998705,0.368015932184307,0.00103666768619287,0.517765985016828,129.114072488003,956.901535371166,1102.87106557117,696.878460560293
2025,11.6282201996141,241.056389387465,0.106675488161313,0.0922227724061794,1.02938466895804,0.469461724803836,0.415058756607878,0.00040296819595789,0.581229375800769,129.793447848559,709.213950884445,1107.04859918445,696.261926198191
2030,12.9132647159134,299.197490385536,0.119685976809606,0.103307870231507,1.04526884361719,0.514477888606443,0.463342913032544,0.000134975573898564,0.645461529067834,130.65638897286,29.2123558320762,1111.22828583208,695.647938638923
2035,14.1373350787089,363.763813965103,0.132591867932336,0.114533979544727,1.06691484821767,0.560429294460311,0.510294249101023,0.000135045359288582,0.706645927083232,131.693081561117,29.2275221602389,1115.41011882691,695.036479265152
2040,15.3731705236351,434.450489358647,0.146075486208173,0.126729324015272,1.09544739706901,0.607637343858938,0.558502228931595,0.000135114927343654,0.768418395433184,132.885579290116,29.2426410885503,1119.59409152293,694.427529654354
2045,16.5969135907231,511.316341976823,0.16004317608612,0.139995631866439,1.13220955831735,0.654941714837563,0.607306530558158,0.000135184279404941,0.829586433775598,134.226932336798,29.2577129105668,1123.78019731492,693.821071576162
2050,17.8196235453561,594.300909930438,0.174560944750371,0.154760945043572,1.1786061044471,0.703117336320427,0.656982082903626,0.000135253416801177,0.890702832632608,135.708121216196,29.2727379171144,1127.96842963805,693.217086989768
2055,18.9662607056774,683.399027657219,0.189037094106228,0.170734341709306,1.23617407383203,0.751093692951341,0.704958370610492,0.000135322340848819,0.948016780040109,137.322108295098,29.2877163963227,1132.15878196749,692.615558041358
2060,20.1127747245047,778.230331185606,0.204107505359212,0.18893775519916,1.30626672484311,0.799913309397668,0.753777918344816,0.000135391052852203,1.00532457229639,139.054517394853,29.3026486336585,1136.3512478181,692.016467061594
2065,21.2253091488683,878.794204808129,0.219536970012225,0.209471619757216,1.39053312485682,0.848846078601543,0.80228891789239,0.000557160709152775,1.06093391559479,140.899733773176,82.8057585356375,1194.03404436771,684.185697214831
2070,22.3357174595961,984.920750552471,0.235535543430916,0.233061312544126,1.49055316554682,0.898960128095625,0.851432584502749,0.00152754359287612,1.11643698642155,142.848995402689,211.243316974832,1326.65343580174,668.189489801082
2075,23.4311770299727,1096.59933785045,0.252043850446859,0.260045758095688,1.60810624919042,0.949897150457066,0.900779650254476,0.0031175002025905,1.17119285373184,144.896892315087,431.109344084232,1550.70343560716,645.665114604321
2080,24.5541376998341,1213.75522300032,0.269322300928265,0.291399931998082,1.74498191724933,1.00315431846804,0.951613233854296,0.00554108461374312,1.22732334644594,147.036843783966,778.697132209462,1902.47732952438,617.917206645653
2085,25.6648060252253,1336.52591149949,0.287041331877436,0.327255700225865,1.90331302761544,1.05771575031687,1.00251135885669,0.00920439146017762,1.28283941394441,149.266031501729,1323.6363899013,2451.60481953935,585.932804937674
2090,26.7785318526523,1464.84994162561,0.305162075899822,0.368364485592731,2.0851000513176,1.11460453426275,1.05374821708257,0.014856317180186,1.33850830878612,151.577908088318,2196.16835278293,3328.32713475042,550.562286012607
2095,27.8478025034994,1598.74260088887,0.323091957977048,0.414646392964408,2.29252991347505,1.1736105744975,1.10337882820173,0.0242317462957743,1.39195513919397,153.967142478671,3656.11457481248,4792.46582263058,512.474680243308
2100,28.8152160353574,1737.98161340637,0.339883781706724,0.465590377239493,2.52747412821169,1.23592563982113,1.14877432951621,0.0411513103049222,1.44031070467266,156.424437850299,6198.41240600398,7392.4464503717,472.354130301562
2105,29.4718814705059,1882.05769358316,0.35284146914158,0.517582121038204,2.79122182653631,1.30179992253794,1.18135237886508,0.07444754367286,1.47313371923803,158.936245063023,11045.1260438402,12371.779479642,431.062388531256
2110,29.2763980155509,2029.41710093569,0.355101248911583,0.55891560876887,3.08269722860693,1.37160420126241,1.17899869751238,0.146605503750028,1.46336259996506,161.473878364084,21291.7958685325,22842.4993041396,389.633784355851
2115,26.5242861266367,2175.79909101344,0.308260193218133,0.549020785796708,3.39398315269528,1.41861802508994,1.05161370643166,0.321004318658275,1.32579999383376,163.970076507099,45537.8078861858,47440.2852157102,349.379483121078
2120,19.324748813311,2308.42052164662,0.240117519711411,0.429526885522378,3.69471823249521,1.49919887215288,0.784784203463403,0.668414668689473,0.965935585794989,166.228248301841,94206.2772750173,96657.8820945566,316.02626077423
2125,14.3070394976778,2405.04426571318,0.187047952223796,0.334560114638435,3.9250254968596,1.64045135501036,0.59078998595762,1.00366136905274,0.715128497228506,167.848743337654,146376.68755846,149705.014693211,296.045233752061
2130,10.7341279669615,2476.57946320157,0.145717331507181,0.260599919108258,4.10161609989976,1.7755811813771,0.448378706383417,1.28120247499368,0.536538729994952,168.945839424393,196971.998877124,201764.464699755,282.829680845996
2135,8.12505110532815,2530.25010303638,0.113529011728253,0.202999660913242,4.23750472005845,1.91010824663911,0.342241609341097,1.52186663729801,0.406125641003594,169.605910939225,249542.319751459,256934.766201831,272.552549599731
2140,6.18724244446374,2570.87535856302,0.0884607230786722,0.158140534725848,4.34230094021063,2.04512382200434,0.262281600268424,1.73684222173591,0.309265476761699,169.892360174969,307606.782468105,319978.561947747,263.635122285332
2145,4.73109305434314,2601.81157078534,0.0689375202481183,0.123204212123207,4.42322298350061,2.18265004292319,0.201574815814636,1.93507522710856,0.236480752482006,169.853604632637,370126.026837502,392968.526141642,255.646255190404
2150,3.62791865894092,2625.46703605705,0.0537328345956211,0.0959957767226347,4.48575330337406,2.32621666460648,0.155228494296506,2.12498817030998,0.181339264426912,169.527750744053,423867.082160187,471307.367375897,248.828146478974
2155,2.78735531066645,2643.60662935176,0.0418914135031017,0.0748058259265214,4.53408647825666,2.49431322159504,0.119704453919809,2.32860876767523,0.139324226712475,168.945531549956,458934.27344951,555592.155544066,242.861845009819
2160,2.14431603286074,2657.54340590509,0.0326693054835693,0.0583030756532638,4.57144725879627,2.68664701230309,0.0923985562302707,2.54824845607282,0.107182307172046,168.132256155947,497084.08183785,646789.096531061,237.524339096794
2165,1.65102152780249,2668.26498606939,0.0254871205363885,0.0454507208176189,4.6003226477289,2.87089903595141,0.0713682373407111,2.7535307986107,0.0825252872378627,167.109158878147,541227.854389896,742992.319089651,232.792655394923
2170,1.27189621955207,2676.5200937084,0.0198936292753603,0.0354412968073071,4.62263454463962,3.06491415479527,0.0551496378109248,2.96376451698434,0.0635749438076635,165.894364240242,590169.068334012,847103.834535842,228.444112987415
2175,0.980169305928476,2682.87957480616,0.0155374139011686,0.0276459495499826,4.63986994331839,3.12802648126316,0.0426311665874981,3.03939531467566,0.0489931549355065,164.503595498446,620596.126209013,940574.68815676,225.032058303727
2180,0.755536972165668,2687.78042133581,0.0121447899565203,0.0215749270016647,4.65318007247337,3.54262038358467,0.0329638945018774,3.46365648908279,0.0377650470310862,162.950705818235,690020.101916018,1082988.62805766,220.630775279946
2185,0.582511246161436,2691.55810619664,0.00950261177176149,0.0168468098869906,4.66345640406211,4.10708789652107,0.0254967461094796,4.03559115041159,0.0291164634132552,161.24808314288,781729.602870422,1253036.97024632,216.236951924023
2190,0.449228401570373,2694.47066242744,0.00744488133245712,0.0131645485756291,4.6713892038848,4.75163344957432,0.0197288494675199,4.6859046001068,0.0224544030775569,159.406962807609,888350.709621472,1443942.86516554,212.099790554122
2195,0.586184880956692,2696.71680443529,0.00719845193109455,0.0174157001313372,4.67751278044182,5.06970900367226,0.0237090036722557,5,0.0293000877704064,157.437671279321,956643.555945598,1603432.65247666,209.086029556274
2200,28.4379027143004,2699.64772884008,0.378295626907287,0.856498405187515,4.68551092785405,6.22664830127054,1.18064830127054,5,1.42145093229868,155.570755445754,988903.635248957,1731895.95433861,206.891663776519
